,Date,Tot cases,New cases,Tot Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot C par million,Deaths par million,Total Test,Tot T par million,Country,Continent,index,population,New Recov,col1,col2,col3
0,2020-05-02,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
1,2020-05-03,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
2,2020-05-04,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
3,2020-05-05,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
4,2020-05-06,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
5,2020-05-07,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
6,2020-05-08,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
7,2020-05-09,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
8,2020-05-10,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
9,2020-05-11,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
10,2020-05-12,6.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,229.0,-1.0,110.0,4195.0,Caribbean Netherlands,North America,,,0.0,,,
11,2020-05-13,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13614.0,Caribbean Netherlands,North America,,,0.0,,,
12,2020-05-14,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13614.0,Caribbean Netherlands,North America,,,0.0,,,
13,2020-05-15,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13631.0,Caribbean Netherlands,North America,209.0,26191.0,0.0,,,
14,2020-05-16,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13630.0,Caribbean Netherlands,North America,209.0,26192.0,0.0,,,
15,2020-05-17,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13630.0,Caribbean Netherlands,North America,209.0,26193.0,0.0,,,
16,2020-05-18,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13630.0,Caribbean Netherlands,North America,209.0,26193.0,0.0,,,
17,2020-05-19,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13629.0,Caribbean Netherlands,North America,209.0,26194.0,0.0,,,
18,2020-05-20,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13629.0,Caribbean Netherlands,North America,209.0,26195.0,0.0,,,
19,2020-05-21,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,357.0,13629.0,Caribbean Netherlands,North America,209.0,26195.0,0.0,,,
20,2020-05-22,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16186.0,Caribbean Netherlands,North America,209.0,26196.0,0.0,,,
21,2020-05-23,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16185.0,Caribbean Netherlands,North America,209.0,26197.0,0.0,,,
22,2020-05-24,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16185.0,Caribbean Netherlands,North America,209.0,26197.0,0.0,,,
23,2020-05-25,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16184.0,Caribbean Netherlands,North America,210.0,26198.0,0.0,,,
24,2020-05-26,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16184.0,Caribbean Netherlands,North America,210.0,26199.0,0.0,,,
25,2020-05-27,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16183.0,Caribbean Netherlands,North America,210.0,26200.0,0.0,,,
26,2020-05-28,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16183.0,Caribbean Netherlands,North America,210.0,26200.0,0.0,,,
27,2020-05-29,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16183.0,Caribbean Netherlands,North America,210.0,26201.0,0.0,,,
28,2020-05-30,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16183.0,Caribbean Netherlands,North America,210.0,26201.0,0.0,,,
29,2020-05-31,6.0,-1.0,-1.0,-1.0,6.0,0.0,-1.0,229.0,-1.0,424.0,16182.0,Caribbean Netherlands,North America,210.0,26202.0,0.0,,,
30,2020-06-01,7.0,-1.0,-1.0,-1.0,7.0,0.0,-1.0,267.0,-1.0,424.0,16181.0,Caribbean Netherlands,North America,210.0,26203.0,0.0,,,
31,2020-06-02,7.0,-1.0,-1.0,-1.0,7.0,0.0,-1.0,267.0,-1.0,424.0,16181.0,Caribbean Netherlands,North America,210.0,26203.0,-1.0,3743.0,-1.0,62.0
